"","business_id","latitude","longitude","name","review_count","categories"
"1","O_X3PGhk3Y5JWVi866qlJg","33.6385727","-112.0923293","Turf Paradise Race Course","29",NA
"2","QbrM7wqtmoNncqjc6GtFaQ","33.6485453","-112.2347549","Sam's Club Members Only","3",NA
"3","7lbvsGKzhjuX3oJtaXJvOg","33.383123","-111.964485","Forever 21","7",NA
"4","gjxoKVsRJwEoa8zd9XxlAw","33.3564719","-111.857818","Loving Hands Pet Care","4",NA
"5","V28yjMqyZnbCtabroJN_aA","33.5384932","-112.0972324","Amec Mid-City Animal Hospital","3",NA
"6","ShUDf64NVkwCe8izdUbYuw","33.466373","-112.184772","Los Armandos Asadero Y Mariscos","3",NA
"7","-orgn4aQoie80CiWcoqkqg","33.5024593","-111.9192218","Clayton Companies","3",NA
"8","mQfT3JYu18HN22DVylcE7A","33.4952159","-112.014454","Bertha's Café","177",NA
"9","cqXv3w9Mf-aVi4PPRspfFQ","33.3840503","-111.9263102","Jerry's Artarama","21",NA
"10","C2FC_hsVG4rupRESeUnrcA","33.8333716","-111.9507042","Shauna Brown Fitness","5",NA
"11","aW1FWcU8uWqlslFOI2Ts1w","33.3005628","-111.8759269","Simonmed Imaging","5",NA
"12","MiVcQsXp3TYUmeD7FSa-hA","33.41484","-111.8321847","Sweet Cakes Café","70",NA
"13","2agDSZF593OlXDj7SZtVxw","33.4980117","-111.9182618","Michele's Massage And  Aesthetics LLC","3",NA
"14","R37sFq0FJOdnoBxpoJbtWA","33.282349","-111.686969","Circle K","4",NA
"15","y1oqe6pFYzQK08evy8vlLg","33.3096142","-111.8411655","Jiffy Lube","3",NA
"16","_IwgdSjrIMwAcQdeLNhcZQ","33.5013596","-111.8210866","Shadows","14",NA
"17","ClluhYAaVzuoha89uJmr7g","33.265725","-111.683607","Delia's Cleaners","4",NA
"18","6fvsIZmmecvphJDiuDFR9w","33.3776584","-112.0282143","PetSmart","3",NA
"19","tl9XIP5trlkcuSfTQqe5jg","33.453887","-112.393195","McDonalds","6",NA
"20","6zXaBSWYQThXT5z9IDY8lw","33.499802","-111.923857","Antonio's Salon & Barber Shop","6",NA
"21","lUoiT_fR73R8eMiiIcqMLA","33.5183691","-112.0047498","Hermosa Inn","17",NA
"22","W0eocyGliMbg8NScqERaiA","33.6071829","-111.9403254","Narcisse Champagne and Tea Lounge","98",NA
"23","0A8myHrHPpiZGvGyFIBA1w","33.5817431","-111.9766205","Arizona Arthritis & Rheumatology Associates","3",NA
"24","J8T6Fu7RSczrflZ5rC6wvQ","33.451793","-111.576051","Apache Dee's Electrical Services, LLC","3",NA
"25","wAs-stW0HP6OXVXdpawnBQ","33.5081908","-112.1345446","Dong-A","7",NA
"26","5CfsPNHmj7J8l1qXk-USsw","33.4657647","-112.0437806","Metro Appliance Service Company","3",NA
"27","sbD4f8aOsXZ6PJYh1kN4Ag","33.5324849","-112.2603562","Westgate City Center","66",NA
"28","vf5AdVCI7rEvXF2Falgp_w","33.64201","-112.11364","Super 8 Phoenix","6",NA
"29","gtQzAiy7D-dPU8WzT3jX3Q","33.6077660588006","-112.481632232666","Barney's New York Co-op","6",NA
"30","As7RemQnYJskIBPWUh3MIg","33.495167","-112.0160942","Ain't Nobody's Bizness","3",NA
"31","nV_7lAYFVISEs-Te4e39gA","33.5043537","-112.0739851","Hinkley's Lighting","7",NA
"32","i-jP5qyR1Sqp9_Fjp2rJ5w","33.578712","-112.124921","Metro Car Wash","12",NA
"33","59IPTGX3P6gxpIFYYv1kZg","33.447968","-112.043042","Stone and Iron Creations","6",NA
"34","HfWkdqxegjiGEXzI8j7Wwg","33.4876207","-112.0739243","Walgreens","25",NA
"35","2KAOVu8cloYC7xC6IGFGIQ","33.479307","-111.9864","Chase","4",NA
"36","31bXixwy2GNmRlhpl21reA","33.5094588","-112.0291023","Williams-Sonoma","20",NA
"37","o_YqpIrK0-9F7Q7ggtCSrg","33.638405","-111.979837","Soccer Mall","4",NA
"38","xvCWAzIS_EpTwDIUVhY_Og","33.4659545","-111.9208174","Jack in the Box","6",NA
"39","nKrUueeLiIAeMH8nGhdh3A","33.4949436","-112.128213","McDonald's","4",NA
"40","h3suimHlSVRu9V_AJxbbGw","33.3001283","-111.7439821","Bed Bath & Beyond","6",NA
"41","WoFq0FJFMHAOZ_Cog2NTUw","33.492828","-111.981619","Arcadia Del Sol Apartments","3",NA
"42","fI2DvmH3ikpZnVaxWyL66Q","33.5173543","-111.9076824","Chaparral Park","14",NA
"43","-tNGtyL1Tx20Od4npKkdcg","33.5747744598602","-111.719557642937","Suburban Sole","3",NA
"44","RxYntP8Gsu9hH6gtGjQGVw","33.4652707845178","-111.928442716598","J&M Fish Market","18",NA
"45","ECtNrwcl5P74qwVGFi3hoQ","33.635419","-111.884328","Amcor Property Professional","3",NA
